算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽,附加JSON
random,44,1,random,15608940.99984729,9301756.37728024,1239790051.8830352,133.72045686257607,0.9208984375,27.345253467559814,0,P1,256x256,7,32,2,0,1,4x4,2,40,"{""accuracy_violation"": 0.0}"
random,44,2,random,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.927734375,18.107325553894043,1,P1,512x512,6,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,3,random,13306322.45549154,7533624.284150348,2305310210.7135515,518.5815764296048,0.10546875,50.15295052528381,0,P2,128x128,7,128,2,0,1,4x4,3,80,"{""accuracy_violation"": 0.77453125}"
random,44,4,random,5505547.211956913,7803522.713430056,1390950394.712258,110.9133416567962,0.931640625,25.581660985946655,0,P1,256x256,6,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,5,random,15630800.856951386,21853525.738063026,2354348727.1181145,850.5265789104947,0.8095703125,49.37577176094055,0,P3,128x128,4,32,2,0,1,4x4,2,40,"{""accuracy_violation"": 0.0704296875}"
random,44,6,random,5997133.2533934815,5802139.1135352645,893407211.3802106,57.43931540250036,0.9267578125,17.233142137527466,0,P2,512x512,4,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,7,random,14822125.702073462,2703553.1488564275,1067525562.1178398,38.16042185520663,0.9208984375,16.942729234695435,0,P2,512x512,7,128,2,0,1,4x4,3,80,"{""accuracy_violation"": 0.0}"
random,44,8,random,4177721.7279078932,1589700.9585995504,1201183185.7989137,68.2906487985458,0.8740234375,25.65432047843933,0,P1,256x256,7,128,2,1,1,2x2,2,40,"{""accuracy_violation"": 0.0059765625000000044}"
random,44,9,random,4698711.625120114,1077230.9208284174,884941383.1245514,35.34259701478249,0.8447265625,17.114631175994873,0,P2,512x512,7,128,2,0,1,2x2,3,40,"{""accuracy_violation"": 0.035273437500000004}"
random,44,10,random,15474754.911727443,7351940.307022113,1253533138.1236033,223.42960920834463,0.9306640625,25.277786016464233,0,P1,256x256,4,128,2,0,1,4x4,2,80,"{""accuracy_violation"": 0.0}"
random,44,11,random,18249685.76940889,8301107.3894352,1213681673.3306022,61.49106071866793,0.9169921875,17.16373586654663,0,P2,512x512,6,32,2,0,1,4x4,3,40,"{""accuracy_violation"": 0.0}"
random,44,12,random,14995379.256951638,21853525.738063026,2354348727.1181145,850.5265789104947,0.923828125,50.27511763572693,0,P2,128x128,4,32,2,0,1,4x4,2,80,"{""accuracy_violation"": 0.0}"
random,44,13,random,15075548.733616473,8574404.008299582,2354953730.7135515,437.2987035679905,0.9208984375,49.08412170410156,0,P1,128x128,4,128,2,1,1,4x4,2,40,"{""accuracy_violation"": 0.0}"
random,44,14,random,4698711.625120114,797588.8653504751,885788665.3005514,18.642665939012545,0.7587890625,16.967597007751465,0,P3,512x512,7,128,2,1,1,2x2,3,40,"{""accuracy_violation"": 0.1212109375}"
random,44,15,random,16061241.711727688,7351940.307022113,1253533138.1236033,223.42960920834463,0.900390625,26.04101824760437,0,P2,256x256,4,128,2,0,1,4x4,2,40,"{""accuracy_violation"": 0.0}"
random,44,16,random,15761587.399847265,6292018.4366758745,1240260764.2030354,69.08498614592474,0.9267578125,25.269763469696045,0,P2,256x256,7,32,2,1,1,4x4,3,40,"{""accuracy_violation"": 0.0}"
random,44,17,random,15437120.902072983,2703553.1488564275,1067525562.1178398,38.16042185520663,0.91796875,16.662944316864014,0,P2,512x512,7,128,2,0,1,4x4,3,40,"{""accuracy_violation"": 0.0}"
random,44,18,random,5784806.811956924,7803522.713430056,1214545914.7122579,110.9133416567962,0.892578125,25.656962394714355,0,P3,256x256,4,32,2,1,1,2x2,2,40,"{""accuracy_violation"": 0.0}"
random,44,19,random,5130946.664182619,1248300.8586948751,1005903865.3005512,30.12938593901255,0.8154296875,17.23224925994873,0,P3,512x512,6,128,2,1,1,2x2,3,40,"{""accuracy_violation"": 0.0645703125}"
random,44,20,random,4992184.264182465,1248300.8586948751,894144505.3005514,30.12938593901255,0.9072265625,17.08541750907898,0,P2,512x512,4,128,2,1,1,2x2,2,40,"{""accuracy_violation"": 0.0}"
random,44,21,random,3905028.5279078325,2314460.7570470907,1200737393.5429137,131.01629457350816,0.857421875,25.647242307662964,0,P2,256x256,7,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.022578125000000004}"
random,44,22,random,13648805.655491427,6701703.556800941,2305310210.7135515,268.2414235679906,0.10546875,49.35676693916321,0,P2,128x128,7,128,2,1,1,4x4,2,40,"{""accuracy_violation"": 0.77453125}"
random,44,23,random,6228147.0533935,5802139.1135352645,893407211.3802106,57.43931540250036,0.81640625,17.09534978866577,0,P3,512x512,4,32,2,0,1,2x2,2,40,"{""accuracy_violation"": 0.06359375}"
random,44,24,random,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.7705078125,17.027318716049194,0,P3,512x512,6,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.1094921875}"
random,44,25,random,15659093.533616526,8574404.008299582,3018935810.713551,437.2987035679905,0.8701171875,49.67395067214966,0,P2,128x128,6,128,2,1,1,4x4,3,40,"{""accuracy_violation"": 0.009882812500000004}"
random,44,26,random,16398727.780198477,3840969.476307728,1077683642.1178398,62.41514185520663,0.9267578125,17.4342622756958,0,P2,512x512,4,128,2,0,1,4x4,3,80,"{""accuracy_violation"": 0.0}"
random,44,27,random,13013384.055491323,7533624.284150348,2305310210.7135515,518.5815764296048,0.10546875,49.954848527908325,0,P1,128x128,7,128,2,0,1,4x4,2,80,"{""accuracy_violation"": 0.77453125}"
random,44,28,random,17634690.569409214,5309737.221154697,1078847382.6426022,31.531321697326867,0.9267578125,16.85488796234131,0,P1,512x512,4,32,2,1,1,4x4,3,80,"{""accuracy_violation"": 0.0}"
random,44,29,random,5598586.01195691,7803522.713430056,1214545914.7122579,110.9133416567962,0.9326171875,25.236494541168213,0,P1,256x256,4,32,2,1,1,2x2,3,80,"{""accuracy_violation"": 0.0}"
random,44,30,random,4169485.489730378,4796870.650564138,2377632142.653233,259.8430965114888,0.9140625,49.25337505340576,1,P2,128x128,7,32,2,1,1,2x2,3,80,"{""accuracy_violation"": 0.0}"
random,44,31,random,4189636.1595024257,3258052.8706482616,2378230157.7582936,506.9932599484214,0.10546875,50.55245876312256,0,P1,128x128,7,128,2,0,1,2x2,3,40,"{""accuracy_violation"": 0.77453125}"
random,44,32,random,4592807.445711826,4438871.811947091,1390330993.5429137,218.2687745735082,0.8544921875,26.066920042037964,0,P3,256x256,6,128,2,0,1,2x2,2,40,"{""accuracy_violation"": 0.025507812500000004}"
random,44,33,random,15288317.65695191,21853525.738063026,3018330807.1181145,850.5265789104947,0.7451171875,49.98239207267761,0,P3,128x128,6,32,2,0,1,4x4,3,80,"{""accuracy_violation"": 0.1348828125}"
random,44,34,random,4831206.264182526,1248300.8586948751,894144505.3005514,30.12938593901255,0.923828125,17.33031463623047,1,P1,512x512,4,128,2,1,1,2x2,3,80,"{""accuracy_violation"": 0.0}"
random,44,35,random,15075548.733616473,10534362.375328988,3018935810.713551,856.6961364296048,0.90234375,49.50553774833679,0,P2,128x128,6,128,2,0,1,4x4,2,40,"{""accuracy_violation"": 0.0}"
random,44,36,random,5968673.211956936,7803522.713430056,1390950394.712258,110.9133416567962,0.87109375,24.827245473861694,0,P3,256x256,6,32,2,1,1,2x2,3,40,"{""accuracy_violation"": 0.008906250000000004}"
random,44,37,random,4831206.264182526,1912910.9359328174,893297223.1245514,58.30707701478249,0.9248046875,17.10129976272583,1,P1,512x512,4,128,2,0,1,2x2,3,80,"{""accuracy_violation"": 0.0}"
random,44,38,random,4592807.445711826,4438871.811947091,1390330993.5429137,218.2687745735082,0.927734375,25.512308835983276,0,P1,256x256,6,128,2,0,1,2x2,2,40,"{""accuracy_violation"": 0.0}"
random,44,39,random,4177721.7279078932,1589700.9585995504,1201183185.7989137,68.2906487985458,0.87109375,26.17350697517395,0,P2,256x256,7,128,2,1,1,2x2,2,40,"{""accuracy_violation"": 0.008906250000000004}"
random,44,40,random,17346484.969408944,8301107.3894352,1077817353.3306022,61.49106071866793,0.8896484375,16.70789861679077,0,P3,512x512,4,32,2,0,1,4x4,2,80,"{""accuracy_violation"": 0.0}"
random,44,41,random,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9287109375,17.20073175430298,0,P2,512x512,6,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
random,44,42,random,5668364.014331009,1608248.0024651666,885898653.5562104,18.072503145690415,0.8544921875,17.04452157020569,0,P3,512x512,7,32,2,1,1,2x2,2,40,"{""accuracy_violation"": 0.025507812500000004}"
random,44,43,random,4592807.445711826,2710071.43749955,1214372305.7989137,111.92584879854581,0.9228515625,25.309993743896484,1,P2,256x256,4,128,2,1,1,2x2,2,40,"{""accuracy_violation"": 0.0}"
random,44,44,random,15288317.65695191,14234031.53552794,2354348727.1181145,433.3304938920804,0.734375,49.16665077209473,0,P3,128x128,4,32,2,1,1,4x4,3,80,"{""accuracy_violation"": 0.145625}"
